Protein,Protein Description,Protein Gene,A01-511-84A-C4-001 Sum Normalized Area,A02-Hoof17-002 Sum Normalized Area,A03-304-75B-B4-003 Sum Normalized Area,A04-450-08A-C7-004 Sum Normalized Area,A05-051-21B-D6-005 Sum Normalized Area,A06-510-08B-C8-006 Sum Normalized Area,A07-912-46A-A9-007 Sum Normalized Area,A08-492-84B-B8-008 Sum Normalized Area,A09-159-21A-D7-009 Sum Normalized Area,A10-990-46B-A8-010 Sum Normalized Area,A11-EISAIPool-011 Sum Normalized Area,A12-278-75A-B6-012 Sum Normalized Area,B01-041-40B-B1-013 Sum Normalized Area,B02-934-43A-A2-014 Sum Normalized Area,B03-959-40A-A5-015 Sum Normalized Area,B04-EISAIPool-016 Sum Normalized Area,B05-334-76A-B9-017 Sum Normalized Area,B06-GWPool-018 Sum Normalized Area,B07-168-16A-D3-019 Sum Normalized Area,B08-009-43B-A3-020 Sum Normalized Area,B09-316-76B-C3-021 Sum Normalized Area,B10-062-16B-D5-022 Sum Normalized Area,B11-Hoof17-023 Sum Normalized Area,B12-GWPool-024 Sum Normalized Area,C01-027-37B-B3-025 Sum Normalized Area,C02-907-45A-B2-026 Sum Normalized Area,C03-EISAIPool-027 Sum Normalized Area,C04-155-17A-D1-028 Sum Normalized Area,C05-166-20A-D8-029 Sum Normalized Area,C06-249-64B-B5-030 Sum Normalized Area,C07-985-45B-A1-031 Sum Normalized Area,C08-Hoof17-032 Sum Normalized Area,C09-956-37A-A6-033 Sum Normalized Area,C10-216-64A-C2-034 Sum Normalized Area,C11-056-20B-D9-035 Sum Normalized Area,C12-046-17B-C9-036 Sum Normalized Area,D01-GWPool-037 Sum Normalized Area,D02-039-25B-D2-038 Sum Normalized Area,D03-043-24B-C5-039 Sum Normalized Area,D04-084-86A-C1-040 Sum Normalized Area,D05-EISAIPool-041 Sum Normalized Area,D06-152-24A-D4-042 Sum Normalized Area,D07-099-86B-B7-043 Sum Normalized Area,D08-880-56A-A7-044 Sum Normalized Area,D09-GWPool-045 Sum Normalized Area,D10-143-25A-C6-046 Sum Normalized Area,D11-970-56B-A4-047 Sum Normalized Area,D12-Hoof17-048 Sum Normalized Area
sp|Q86Y46|K2C73_HUMAN,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1",KRT73,4.7540E+5,2.7203E+5,2.1329E+5,1.8052E+6,6.2500E+5,3.7577E+5,1.6707E+6,2.1560E+6,1.0195E+6,5.2152E+5,9.6007E+5,2.4478E+6,5.8435E+5,1.9639E+5,5.2633E+7,4.5936E+5,1.0971E+6,3.0109E+6,1.4639E+6,7.7701E+5,1.0442E+6,4.0063E+5,3.8617E+5,4.0697E+5,1.2987E+6,3.7493E+5,7.0239E+5,8.1122E+5,5.2766E+5,6.0251E+5,2.9629E+5,1.0121E+6,3.1096E+5,8.2459E+5,7.6441E+5,8.0047E+5,3.0472E+5,4.7500E+5,1.8367E+5,7.3768E+5,3.2387E+5,2.1016E+6,3.4229E+5,5.7496E+5,4.8876E+5,5.7320E+5,6.2492E+5,4.4547E+5
sp|Q8N539|FBCD1_HUMAN,Fibrinogen C domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FIBCD1 PE=1 SV=2,FIBCD1,2.0945E+4,2.9348E+4,4.0299E+4,1.5499E+4,2.8056E+4,2.3503E+4,3.2176E+4,1.9316E+4,4.1774E+4,2.3730E+4,2.9622E+4,3.2522E+4,2.8966E+4,3.8231E+4,3.6379E+4,2.4357E+4,1.7516E+4,2.7275E+4,3.0206E+4,4.7591E+4,3.2992E+4,3.2649E+4,2.7053E+4,3.9924E+4,2.1990E+4,1.7486E+4,3.1062E+4,2.9515E+4,2.1812E+4,5.3361E+4,2.0735E+4,3.1883E+4,2.0027E+4,6.6572E+4,2.2253E+4,2.0740E+4,2.3895E+4,4.3944E+4,3.0186E+4,2.0620E+4,2.1300E+4,2.2433E+4,2.0023E+4,1.8493E+4,2.9399E+4,4.2023E+4,3.5857E+4,3.9234E+4
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,7.6353E+4,5.9362E+4,1.0798E+5,6.5084E+4,7.6976E+4,9.8274E+4,6.4288E+4,9.1278E+4,8.3371E+4,8.7084E+4,7.8088E+4,1.5480E+5,6.5807E+4,6.6034E+4,8.9269E+4,8.2282E+4,7.5414E+4,5.7249E+4,7.0326E+4,6.0319E+4,8.7627E+4,6.1592E+4,8.1530E+4,6.6322E+4,5.9921E+4,5.2612E+4,8.2927E+4,8.8561E+4,6.8506E+4,8.4320E+4,5.7051E+4,6.5615E+4,5.0383E+4,9.0923E+4,7.9626E+4,7.1529E+4,5.1411E+4,1.0674E+5,8.1171E+4,4.8177E+4,4.7027E+4,4.7740E+4,5.7495E+4,7.3464E+4,5.7917E+4,8.9438E+4,1.3195E+5,6.3494E+4
sp|Q9H115|SNAB_HUMAN,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,NAPB,1.1974E+4,7.4054E+3,1.5204E+4,8.4920E+3,1.2321E+4,1.6638E+4,1.1409E+4,3.0864E+3,1.2052E+4,1.0503E+4,1.0109E+4,1.0968E+4,1.2113E+4,1.2500E+4,1.5682E+4,5.6962E+3,8.1609E+3,1.4427E+3,1.3701E+4,1.3625E+4,1.1887E+4,1.3622E+4,5.7754E+3,2.6736E+3,6.4304E+3,7.8043E+3,6.0234E+3,1.3436E+4,1.5066E+4,1.0421E+4,8.9530E+3,7.7845E+3,6.8874E+3,1.7801E+4,1.2350E+4,8.8055E+3,3.9523E+3,1.7250E+4,6.3462E+3,5.7390E+3,1.0600E+4,6.7547E+3,8.5205E+3,7.0114E+3,1.2348E+3,1.7772E+4,1.5367E+4,8.9350E+3
sp|Q9H8J5|MANS1_HUMAN,MANSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MANSC1 PE=1 SV=1,MANSC1,8.5329E+4,1.8266E+5,1.1690E+5,8.5862E+4,1.2175E+5,1.1913E+5,8.2504E+4,7.1520E+4,1.8418E+5,8.0444E+4,1.3790E+5,1.0711E+5,8.5951E+4,7.5116E+4,9.4659E+4,1.3122E+5,1.1881E+5,2.9015E+4,5.6101E+4,1.3523E+5,1.5360E+5,4.8702E+4,2.6978E+5,3.1619E+4,6.3578E+4,7.2031E+4,6.6043E+4,5.5226E+4,7.7464E+4,1.4322E+5,1.1652E+5,1.6207E+5,1.1430E+5,1.0698E+5,1.4147E+5,7.2534E+4,1.8143E+4,1.1819E+5,8.2241E+4,8.3280E+4,8.6938E+4,5.6862E+4,7.4639E+4,6.9165E+4,2.9472E+4,1.9593E+5,1.5103E+5,2.2751E+5
sp|A0A0J9YXV3|GREP1_HUMAN,Glycine-rich extracellular protein 1 OS=Homo sapiens OX=9606 GN=GREP1 PE=3 SV=1,GREP1,3.1614E+4,3.5023E+4,5.4044E+4,2.5895E+4,5.0091E+4,7.8502E+4,7.6764E+4,4.3472E+4,6.0115E+4,5.8205E+4,5.1317E+4,5.9313E+4,5.6611E+4,5.5344E+4,9.0858E+4,7.0067E+4,7.5062E+4,2.6111E+4,6.2753E+4,8.4980E+4,6.7114E+4,5.4140E+4,5.3782E+4,2.4880E+4,3.7082E+4,7.0036E+4,6.5537E+4,7.2842E+4,7.0794E+4,1.0202E+5,5.3090E+4,8.6954E+4,6.0248E+4,1.0744E+5,7.1559E+4,6.8825E+4,1.6208E+4,9.7518E+4,4.2871E+4,5.9522E+4,5.1605E+4,6.5486E+4,4.4711E+4,5.2974E+4,1.6429E+4,1.2457E+5,1.1853E+5,9.1526E+4
sp|A6NFA1|TIKI2_HUMAN,Metalloprotease TIKI2 OS=Homo sapiens OX=9606 GN=TRABD2B PE=1 SV=2,TRABD2B,6.4044E+3,7.9230E+3,1.5248E+4,5.3735E+3,6.1955E+3,1.2653E+4,6.3809E+3,9.0865E+3,1.1722E+4,6.1340E+3,5.7898E+3,1.1073E+4,7.3002E+3,6.4270E+3,6.1526E+3,8.7731E+3,5.7632E+3,5.7902E+3,5.0162E+3,5.4241E+3,7.2913E+3,9.4864E+3,9.6130E+3,8.2514E+3,1.0334E+4,6.4050E+3,4.9229E+3,7.9885E+3,1.0980E+4,7.8682E+3,7.8622E+3,1.4083E+4,7.6920E+3,1.4159E+4,9.3844E+3,6.7756E+3,4.3634E+3,7.9911E+3,4.2465E+3,6.4849E+3,5.0858E+3,7.4040E+3,7.0674E+3,7.8137E+3,4.2239E+3,1.2862E+4,7.8649E+3,1.2550E+4
sp|O43752|STX6_HUMAN,Syntaxin-6 OS=Homo sapiens OX=9606 GN=STX6 PE=1 SV=1,STX6,1.0142E+4,1.3023E+4,7.1452E+3,1.2607E+4,1.4586E+4,1.6004E+4,2.0258E+4,5.6093E+3,2.0198E+4,9.0199E+3,9.2644E+3,6.8127E+3,4.3707E+3,8.4224E+3,1.2543E+4,1.8397E+4,7.4909E+3,4.3141E+3,1.3129E+4,1.0688E+4,1.0942E+4,1.6980E+4,1.2441E+4,1.3460E+4,7.1005E+3,1.2662E+4,1.6909E+4,1.5762E+4,2.0846E+4,1.5612E+4,1.5545E+4,1.0929E+4,6.4338E+3,1.1209E+4,1.8142E+4,2.0255E+4,8.1705E+3,1.2665E+4,7.0815E+3,1.6186E+4,1.2632E+4,1.3142E+4,1.2477E+4,1.0941E+4,2.0101E+4,1.7317E+4,2.0529E+4,9.5337E+3
sp|O95274|LYPD3_HUMAN,Ly6/PLAUR domain-containing protein 3 OS=Homo sapiens OX=9606 GN=LYPD3 PE=1 SV=2,LYPD3,9.2824E+2,3.1834E+3,2.1559E+3,3.0815E+3,3.5004E+3,3.2607E+3,3.4392E+3,5.2477E+3,1.6854E+3,2.0027E+3,2.3226E+3,1.0977E+3,1.1828E+3,1.2829E+3,6.4580E+4,1.1798E+3,2.1061E+3,3.6284E+3,1.2259E+3,5.3062E+2,5.0184E+2,2.6170E+3,9.8290E+2,1.4712E+3,1.6113E+3,9.8126E+2,2.7069E+3,2.1613E+3,4.4392E+2,1.6092E+3,9.7301E+2,1.8925E+3,1.5762E+3,2.2795E+3,1.7763E+3,2.3417E+3,7.6761E+2,1.1576E+3,1.8098E+3,8.1182E+2,1.6291E+3,1.1297E+3,1.1547E+3,2.1772E+3,1.5301E+3,2.2832E+3,3.4957E+3,1.1316E+3
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,3.9025E+7,5.0059E+7,4.8055E+7,5.1168E+7,3.4487E+7,6.0104E+7,3.9979E+7,8.3105E+7,1.1605E+7,1.8852E+7,5.5456E+7,3.5292E+7,9.0037E+8,6.2742E+6,1.2089E+7,5.2795E+7,4.2705E+7,9.0373E+7,1.1068E+7,2.3214E+7,2.2548E+7,2.8085E+7,5.7630E+7,1.0190E+8,1.3707E+8,4.3501E+6,5.1160E+7,1.0881E+7,1.1615E+7,1.7753E+7,4.4437E+6,6.0375E+7,8.3931E+7,1.3947E+7,1.5359E+7,7.3247E+6,8.0151E+7,7.3758E+7,5.3869E+7,1.0907E+7,4.2108E+7,1.7405E+7,9.6696E+6,7.2113E+6,8.9094E+7,4.4523E+7,4.1852E+7,5.8783E+7
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,1.5467E+5,1.3275E+5,6.8599E+4,9.0878E+4,6.6057E+4,6.5150E+4,5.6445E+4,1.0289E+5,6.2046E+4,5.4707E+4,7.7932E+4,7.2479E+4,2.1209E+5,5.3875E+4,5.9368E+4,7.7566E+4,6.2938E+4,3.8102E+5,6.1827E+4,7.1386E+4,6.7063E+4,8.1469E+4,1.8535E+5,4.9277E+5,1.2285E+5,8.2268E+4,9.2088E+4,6.5506E+4,5.5411E+4,6.3776E+4,1.0502E+5,2.2849E+5,8.0696E+4,5.3414E+4,1.0386E+5,7.3188E+4,3.9560E+5,7.0603E+4,6.3575E+4,9.8396E+4,6.9405E+4,7.1988E+4,9.4407E+4,7.2465E+4,4.1111E+5,7.7379E+4,9.8639E+4,1.9443E+5
sp|P08833|IBP1_HUMAN,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,IGFBP1,2.2415E+5,2.4703E+5,1.2231E+5,1.0675E+5,2.7502E+5,2.4195E+5,3.9630E+5,5.9105E+5,1.9237E+5,3.1663E+5,2.0056E+5,1.0661E+5,2.3051E+5,1.3906E+5,1.6693E+5,1.8285E+5,2.1235E+5,2.2795E+5,9.8999E+4,9.0401E+4,3.7868E+5,1.9458E+5,3.8989E+5,2.5044E+5,3.3685E+5,7.6464E+4,2.0783E+5,2.8139E+5,1.1367E+5,1.0466E+5,9.8137E+4,4.2989E+5,2.1716E+5,1.6491E+5,1.3673E+5,2.3638E+5,2.1207E+5,1.3147E+5,1.4576E+5,2.3652E+5,2.0729E+5,1.4965E+5,3.0663E+5,2.3369E+5,2.8582E+5,1.5072E+5,3.4322E+5,3.1754E+5
sp|P08949|NMB_HUMAN,Neuromedin-B OS=Homo sapiens OX=9606 GN=NMB PE=1 SV=4,NMB,8.4851E+4,1.0937E+5,8.5476E+4,7.1694E+4,1.2860E+5,6.6989E+4,1.0215E+5,4.1025E+4,1.0336E+5,4.2956E+4,8.3180E+4,1.0093E+5,1.0275E+5,1.5008E+5,1.2380E+5,1.1146E+5,7.8475E+4,6.4298E+4,9.8110E+4,1.6359E+5,1.2486E+5,1.3524E+5,9.8763E+4,8.4249E+4,8.8284E+4,5.6843E+4,1.1446E+5,9.9201E+4,1.1634E+5,1.4929E+5,7.9125E+4,6.5244E+4,7.9622E+4,1.3488E+5,8.3793E+4,3.9239E+4,8.0750E+4,7.5325E+4,7.9602E+4,6.8409E+4,8.2147E+4,7.2402E+4,4.9736E+4,7.7975E+4,7.2658E+4,1.2354E+5,1.3212E+5,9.5092E+4
sp|P30085|KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,2.7355E+4,3.8318E+4,1.6585E+4,1.0269E+4,2.1799E+4,1.4243E+4,1.2922E+4,1.5446E+4,7.8744E+3,7.9118E+3,1.0096E+4,2.3026E+4,1.9656E+4,1.5611E+4,1.1841E+4,4.1056E+3,1.1383E+4,8.8919E+3,6.5031E+3,1.1934E+4,1.4130E+4,2.0216E+4,2.6892E+4,8.3122E+3,7.8150E+3,1.5808E+4,1.7877E+4,1.2306E+4,9.6217E+3,1.9135E+4,9.1679E+3,3.6027E+4,9.2996E+3,1.7775E+4,1.0068E+4,1.5515E+4,8.9165E+3,1.1367E+4,1.2198E+4,9.9052E+3,5.7900E+3,9.5927E+3,5.9170E+3,7.0840E+3,9.3959E+3,1.9518E+4,1.5286E+4,5.0760E+4
sp|P34096|RNAS4_HUMAN,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,RNASE4,1.6893E+4,9.8924E+4,1.2386E+4,2.0828E+4,4.5577E+4,1.5981E+4,1.6975E+4,7.3405E+4,9.9698E+3,1.1201E+4,2.2099E+4,1.5922E+4,8.9625E+3,8.5299E+3,2.1153E+4,1.5585E+4,7.4841E+3,3.8602E+4,1.3378E+4,7.3042E+3,8.3129E+3,2.0637E+4,8.2183E+4,2.5627E+4,1.1561E+4,2.5962E+4,1.2869E+4,1.0758E+4,4.6622E+3,2.3429E+4,1.3108E+4,8.9651E+4,2.3834E+4,1.9719E+4,9.6139E+3,1.1153E+4,1.3429E+4,1.7565E+4,1.1572E+4,1.8499E+4,1.1818E+4,1.5876E+4,8.5062E+3,2.7158E+4,2.5184E+4,8.7688E+3,2.0351E+4,8.5585E+4
